probabilities,true_labels
0.27997065,0
0.12146637,1
0.75577486,1
0.07720751,0
0.26565433,0
0.816227,1
0.8305833,1
0.42374715,0
0.7114333,0
0.0055382363,0
0.50521517,1
0.19231147,0
0.21784884,0
0.23938552,0
0.20871635,0
0.5341418,1
0.91186804,1
0.3876262,0
0.61866486,0
0.89101875,1
0.76271003,1
0.7891594,0
0.061635062,0
0.67156076,1
0.022815816,0
0.76501334,1
0.85191226,1
0.13356593,0
0.18536918,0
0.06747017,0
0.25511414,1
0.77105385,1
0.5183035,1
0.48825768,0
0.34891447,0
0.5156651,0
0.70570934,0
0.072306916,0
0.30208546,1
0.8785485,1
0.7622808,1
0.08947391,0
0.7515317,1
0.13738564,0
0.52314925,0
0.8645412,0
0.22710356,0
0.14797606,0
0.81483245,1
0.17840375,0
0.7821878,1
0.60774547,0
0.36931673,0
0.045141783,0
0.038632564,0
0.4927017,0
0.44286716,0
0.27361783,1
0.06658359,0
0.58244365,0
0.78480965,1
0.07692149,0
0.52933943,0
0.7142744,0
0.31777042,0
0.20636532,1
0.7987689,0
0.08062141,0
0.45537075,0
0.2857684,0
0.6813393,1
0.0204376,0
0.31157357,0
0.13665679,0
0.6919571,0
0.8326257,1
0.8372953,1
0.81023186,1
0.009517976,0
0.6716449,0
0.8308482,0
0.3723398,0
0.79829997,1
0.4378645,0
0.6611893,0
0.85505164,1
0.5025274,0
0.5744487,0
0.718939,0
0.8279327,0
0.80469185,1
0.42577508,0
0.08349779,0
0.32802734,0
0.60778177,1
0.29239565,0
0.25669444,0
0.5811268,0
0.16033794,0
0.6436872,1
0.20957406,0
0.36145037,0
0.4566395,0
0.10115229,0
0.5951705,0
0.6794971,1
0.48673654,0
0.13209951,0
0.10842315,0
0.053094964,0
0.5789914,0
0.031638455,0
0.19470042,0
0.6983335,0
0.61431867,0
0.6623726,1
0.7391679,1
0.8397058,1
0.13812079,0
0.09235707,0
0.4732236,1
0.63634354,1
0.74254405,0
0.010224476,0
0.033799455,0
0.4895825,1
0.17674196,0
0.10023786,0
0.86627436,0
0.06072508,0
0.110373564,0
0.40268484,0
0.32055473,0
0.017010294,0
0.8599186,0
0.015835682,0
0.8413399,1
0.060658343,0
0.07564055,0
0.71993095,0
0.44178528,0
0.0026280885,0
0.24870719,0
0.70844865,1
0.77185464,0
0.4434281,0
0.5318973,0
0.21797498,0
0.63717246,0
0.11299273,0
0.53468883,1
0.7432085,0
0.7534158,0
0.09342734,0
0.81676203,1
0.12166093,0
0.6392188,0
0.15387955,0
0.69032717,1
0.022427917,0
0.77479666,1
0.81673515,0
0.49140763,1
0.1171472,1
0.66389227,1
0.1807202,0
0.57363427,0
0.7310412,0
0.85932535,1
0.22405739,0
0.13434003,0
0.88315153,1
0.0706282,0
0.2110856,0
0.22985852,0
0.8179271,1
0.042549826,0
0.29128215,0
0.35429183,0
0.4031398,0
0.20777191,0
0.81343967,1
0.80011237,0
0.21098724,0
0.15760496,0
0.6420582,1
0.30922762,0
0.0036517181,0
0.26435667,0
0.7752237,0
0.6704763,1
0.7756231,1
0.3120758,0
0.30322403,0
0.08942078,0
0.79258555,0
0.015704807,0
0.6402749,1
0.35304534,0
0.19271024,0
0.3876337,1
0.14108701,0
0.4896213,1
0.071280636,0
0.029921494,0
0.25569892,1
0.5981587,0
0.54574585,0
0.10669675,0
0.5259167,0
0.20732744,0
0.28949118,0
0.83522296,0
0.090585336,0
0.074350856,0
0.22697945,0
0.11133706,0
0.61550844,0
0.8078173,1
0.0228715,0
0.60094845,1
0.37886095,0
0.81149155,1
0.05424507,0
0.84557235,1
0.7872663,1
0.7982937,1
0.4395928,1
0.18777372,0
0.3813961,1
0.28152823,0
0.27542743,0
0.7889124,1
0.78112185,0
0.8030838,0
0.2421978,1
0.562429,0
0.3210247,0
0.15497512,0
0.41443646,1
0.81063277,1
0.11070583,0
0.12483916,0
0.5636707,0
0.17834139,0
0.06439706,0
0.7329203,0
0.23542042,0
0.23626663,0
0.35813242,1
0.47465444,0
0.007376628,0
0.6178623,1
0.4127001,1
0.07230082,0
0.3415267,0
0.027089905,0
0.04956026,0
0.75797033,0
0.0038436705,0
0.4523273,0
0.8125478,1
0.72688127,0
0.77627146,1
0.2299793,0
0.12524624,0
0.24109656,0
0.4062402,1
0.46224043,0
0.043874033,0
0.8326299,1
0.19131474,0
0.15636897,0
0.48010367,0
0.1349773,0
0.1945891,0
0.84273756,1
0.1207857,0
0.82638955,1
0.8691664,1
0.2927878,0
0.67738295,0
0.12675796,0
0.3588123,0
0.5926461,1
0.79368174,1
0.3782452,0
0.12122028,0
0.17392111,0
0.7928773,0
0.39152434,0
0.1443925,1
0.7525784,1
0.1843506,0
0.31592205,0
0.48336348,0
0.7779706,1
0.016991151,0
0.73337674,1
0.100741655,0
0.60739744,1
0.79006934,0
0.12710106,0
0.11474819,0
0.32121843,0
0.85980767,0
0.0829846,0
0.306918,0
0.7167469,1
0.26992628,0
0.6801204,1
0.890233,1
0.67666304,0
0.03455596,0
0.15553461,0
0.83710897,1
0.042680368,0
0.7445464,1
0.7956408,1
0.10218222,0
0.68637925,1
0.24450971,0
0.8179667,1
0.19272162,0
0.85789645,0
0.5523639,0
0.7451012,0
0.30937403,0
0.10900783,0
0.8171161,1
0.799527,1
