probabilities,true_labels
0.579244,1.0
0.3329487,0.0
0.57454824,0.0
0.4231392,1.0
0.052633893,0.0
0.43397912,1.0
0.64621395,1.0
0.030949427,0.0
0.15188943,0.0
0.29344898,0.0
0.065901875,0.0
0.08285292,0.0
0.1943441,0.0
0.5768244,0.0
0.43339634,0.0
0.27479175,0.0
0.3266309,1.0
0.24134946,0.0
0.3096062,1.0
0.14757656,0.0
0.04479907,0.0
0.18032001,0.0
0.23645833,0.0
0.68704796,1.0
0.67423093,1.0
0.21172553,0.0
0.8056475,1.0
0.722282,1.0
0.4966791,0.0
0.1424146,0.0
0.1626164,0.0
0.18834344,0.0
0.30893767,0.0
0.3115979,1.0
0.79974663,1.0
0.1397356,0.0
0.19761895,0.0
0.71835065,0.0
0.60326797,0.0
0.43855095,0.0
0.23168132,0.0
0.6137598,0.0
0.8332107,0.0
0.80056655,1.0
0.75310224,0.0
0.4547732,0.0
0.030426908,0.0
0.02528918,0.0
0.18540353,1.0
0.7649433,1.0
0.6974247,1.0
0.06414838,0.0
0.5573209,0.0
0.119378924,1.0
0.7832291,0.0
0.82787484,1.0
0.022968005,0.0
0.5924771,0.0
0.0482204,0.0
0.3328145,0.0
0.24309833,0.0
0.2793883,0.0
0.41846174,0.0
0.10593076,0.0
0.50680757,0.0
0.056685053,0.0
0.13069907,0.0
0.23642881,0.0
0.17907728,0.0
0.5704797,1.0
0.506935,0.0
0.677065,0.0
0.14407496,1.0
0.15641576,0.0
0.57636565,0.0
0.052172653,0.0
0.25433224,0.0
0.7620436,0.0
0.5206789,0.0
0.31577477,1.0
0.36355594,0.0
0.3333223,1.0
0.50197905,0.0
0.101302855,0.0
0.25201634,0.0
0.3371666,1.0
0.77867717,0.0
0.34028468,1.0
0.72930956,1.0
0.04393554,0.0
0.66668653,1.0
0.1969532,0.0
0.7485745,1.0
0.1347382,0.0
0.8154528,1.0
0.85078824,1.0
0.66129786,1.0
0.6223728,1.0
0.37780732,0.0
0.4943279,0.0
0.8411199,1.0
0.09708972,0.0
0.6093636,1.0
0.6419046,0.0
0.05374144,0.0
0.10302278,1.0
0.49427092,0.0
0.7195803,1.0
0.19378039,0.0
0.8148872,1.0
0.78237575,0.0
0.82057863,0.0
0.25889575,0.0
0.7269836,1.0
0.17393145,0.0
0.8358599,1.0
0.28449807,0.0
0.7391597,1.0
0.63050294,0.0
0.84972936,1.0
0.27793184,0.0
0.13631167,0.0
0.7475283,1.0
0.35564557,0.0
0.84491265,1.0
0.8637123,1.0
0.80307776,1.0
0.080013216,0.0
0.83809495,0.0
0.36410162,0.0
0.8650892,1.0
0.21613887,0.0
0.26622644,0.0
0.08676911,0.0
0.11989667,0.0
0.59227175,0.0
0.23520441,0.0
0.7841615,1.0
0.65229744,0.0
0.03706763,0.0
0.093116075,0.0
0.5063966,0.0
0.20217559,0.0
0.82899076,1.0
0.28515792,0.0
0.056958172,0.0
0.045595497,0.0
0.71023774,1.0
0.03303826,0.0
0.83995646,1.0
0.6779767,0.0
0.03177678,0.0
0.49228677,0.0
0.7892465,1.0
0.85327715,0.0
0.8697816,0.0
0.67640036,1.0
0.39183453,1.0
0.74659044,1.0
0.46435127,0.0
0.79011714,1.0
0.6823523,0.0
0.42537087,0.0
0.7787778,0.0
0.857497,0.0
0.30721426,0.0
0.5525177,0.0
0.27139103,0.0
0.030406615,0.0
0.59295905,1.0
0.8766778,1.0
0.027226824,0.0
0.05915506,0.0
0.16878939,1.0
0.41320154,0.0
0.15822615,0.0
0.66424876,0.0
0.32196906,0.0
0.5598902,1.0
0.7181892,1.0
0.72531056,0.0
0.532265,1.0
0.1814818,0.0
0.83364445,1.0
0.42109206,1.0
0.8827758,1.0
0.47409347,1.0
0.59546244,1.0
0.7029068,1.0
0.078680135,0.0
0.074306786,0.0
0.30558753,0.0
0.07450698,0.0
0.6608318,0.0
0.7812808,1.0
0.6898274,1.0
0.8014274,0.0
0.15936485,0.0
0.7514647,0.0
0.62987214,1.0
0.38209262,0.0
0.6527578,0.0
0.12917902,0.0
0.6733194,0.0
0.14990307,0.0
0.5465337,1.0
0.1767574,1.0
0.25519636,0.0
0.027450686,0.0
0.81436217,1.0
0.6559284,0.0
0.45480415,0.0
0.57031274,0.0
0.8730963,1.0
0.13667162,1.0
0.49016345,0.0
0.02831759,0.0
0.814445,0.0
0.1240571,0.0
0.8371222,1.0
0.030830072,0.0
0.20551251,0.0
0.733605,0.0
0.36201197,0.0
0.6120291,1.0
0.23399478,0.0
0.38873318,0.0
0.34621128,0.0
0.06595646,0.0
0.02211213,0.0
0.54688704,0.0
0.059799768,0.0
0.88869435,1.0
0.104166776,0.0
0.15534475,0.0
0.1753804,0.0
0.6346792,1.0
0.026509209,0.0
0.035517436,0.0
0.12152853,0.0
0.62737924,0.0
0.7334232,0.0
0.10195,0.0
0.7665867,0.0
0.8468456,1.0
0.8893111,0.0
0.27411047,1.0
0.3650008,0.0
0.32518855,0.0
0.8474128,1.0
0.15932561,0.0
0.16232395,0.0
0.7093586,1.0
0.37861365,0.0
0.83108103,1.0
0.8357685,1.0
0.38871455,0.0
0.07740665,0.0
0.8164191,1.0
0.64020205,1.0
0.35325208,0.0
0.15397593,0.0
0.10489963,1.0
0.5862338,1.0
0.04271315,0.0
0.29254287,0.0
0.7777544,1.0
0.91506666,1.0
0.33151773,0.0
0.7185217,0.0
0.021018779,0.0
0.658916,1.0
0.24750252,0.0
0.18864982,0.0
