probabilities,true_labels
0.1455786,0
0.13517234,0
0.70367473,1
0.42064175,1
0.23267764,0
0.5065286,1
0.077747546,0
0.7644781,0
0.77541125,1
0.81918895,1
0.7451765,1
0.07762252,0
0.47751155,1
0.60843575,1
0.21078256,0
0.1518718,0
0.06688218,0
0.7884381,1
0.2825781,0
0.40089104,0
0.80485165,1
0.8410907,0
0.2583616,0
0.00798521,0
0.58974797,1
0.2541719,0
0.5852768,0
0.03568677,0
0.71604705,1
0.37280595,0
0.18552062,0
0.05618106,0
0.28215683,0
0.6023211,1
0.07830488,1
0.36421064,0
0.056687817,0
0.24893342,0
0.8827471,1
0.34643075,0
0.71723646,1
0.019254755,0
0.11183787,0
0.880511,0
0.23021229,0
0.26591274,0
0.0067595625,0
0.1650899,0
0.82904476,1
0.86388105,1
0.8793997,1
0.15127741,0
0.056418467,0
0.73554415,1
0.16550836,0
0.14004341,0
0.067608,0
0.09830866,0
0.8538778,0
0.08657541,0
0.68908733,1
0.8213148,0
0.8623439,0
0.7434898,0
0.010941763,0
0.560448,0
0.09984481,0
0.81742316,0
0.31046575,1
0.2982311,0
0.6556367,0
0.056193423,0
0.053043123,0
0.1608741,0
0.31342024,0
0.848808,1
0.12227903,0
0.7069501,1
0.6065808,0
0.45892632,1
0.773915,1
0.04191701,0
0.86650646,1
0.40389925,0
0.80775946,1
0.01574364,0
0.81770736,0
0.07449159,0
0.23748733,0
0.07414886,0
0.25748286,0
0.6661638,1
0.74984586,1
0.23094505,0
0.089794636,0
0.40647528,1
0.18813644,0
0.49991512,0
0.88004434,1
0.7637181,1
0.1008568,0
0.19896494,0
0.02638767,0
0.29017484,1
0.039698567,0
0.008672955,0
0.50937706,1
0.1473685,0
0.9036843,0
0.7806135,1
0.75191385,1
0.598719,0
0.06512521,0
0.21645212,0
0.16503361,0
0.7599372,1
0.29335824,0
0.54039896,0
0.7889682,1
0.18352494,0
0.5991783,0
0.8208356,1
0.7132539,1
0.56096154,1
0.52040565,0
